"Name", "Phone", "Industry", "Working Hours", "Employee Size", "Benefits", "Language", "Email", "Description"
"ADPOST.co","+62 82 07044010220","Computer/Information Technology (Software)","Regular hours, Mondays - Fridays","1 - 50","","English","","ADPOST.co is a professional, scientific and technical activities/information and communications Digital Marketing Agencies company based in South Korea. Our company focus on Media Advertising Agencies and System Software Development and Supply. Headquartered in 611, 6th Floor, 51, Yeoksam ro 17 gil, Gangnam-gu, Seoul, South Korea, ADPOST.co will open branch office in Indonesia on 8th March 2017. The ADPOST.co vision is to grow and to allocate capital to the best opportunities on South East Asia region. ADPOST.co make the world that create dream, imagination and freedom through mobile. We will show you advertising impact with accurate data. We will be your partner and grow together with you."
"Adrian Motor","0271-667663","Automobile / Automotive Ancillary / Vehicle","Saturdays or Shift required","1 - 50","","Bahasa Indonesia","","Adrian motor adalah perusahaan perseorangan yang bergerak di bidang perawatan dan penjualan suku cadang sepeda motor (umum). Sebagai salah satu FOC (Federal Oil Center) kami menyediakan oli Federal untuk motor anda, juga menyediakan oli merk lain mulai dari pertamina, yamalube, motul, evalube, dll. Kami juga menyediakan spare part mulai dari sepeda motor bebek, old type, sampai motor-motor matic baru. Spare part kami sediakan untuk beragam pilihan dari genuine part (Ymh, Hd, Szk) dengan kualitas terjamin, juga terdapat part non genuine (KGW, MPM, VR, YKW) Selain bergerak dibidang sepeda motor, kami juga sedang mengembangkan usaha di bidang jasa konsultan struktur bangunan. JOIN US & GROW WITH"
"ADR Group Of Companies (PT Selamat Sempurna tbk)","021-5984388","Automobile/Automotive Ancillary/Vehicle","Regular hours, Mondays - Fridays","More than 5000","Medical, Loans, Dental, Sports (e.g. Gym), Parking, Vision","Bahasa Indonesia","","ADR Group is a group of companies focusing its activities in the production and distribution of automotive components. It was established in 1973 with its first company, CV Auto Diesel Radiators Co., of which the name ADR originated from.\nCurrently ADR Group has four business divisions : Automotive, Agro, Property and Financial Services Division.\nADR Group Automotive  Division has 6 manufacturing Companies and 4 Distribution Companies.\nMANUFACTURING COMPANIES\nADR Group's manufacturing companies are located in Kapuk, Jakarta on a 5-hectare land and in Tangerang, Banten, on a 75-hectare land.\nPT. Selamat Sempurna Tbk. \nThe flagship of ADR Group and currently one of the largest filter & radiator manufacturers in the region. Sakura filter trademark has been registered to more than 90 countries worldwide.\nPT. Panata Jaya Mandiri\nA joint venture company with Donaldson Company Inc. USA (a worldwide leader in filtration industry). The Company manufacturers filtration products for heavy equipments, gas turbines, industrial engines, cinstruction equipments & automotives\nPT. Hydraxle Perkasa\nBegan its operation by assembling dump trucks & hoists and special purpose vehicles. The company subsequently made further investments in a steel centre, tool & die, mould, and machinery centre.\nPT. Selamat Sempana Perkasa\nManufactures rubber O-rings, rubber components, rubber compounds, polyurethanes, and plastisol adhesives for automotive industries. The products are exported to various countries.\nPT. Rubberindo Unggul Perkasa\nManufactures rubber compounds for automotive parts industries.\nPT. Dinamikajaya Bumipersada\nSpecializes in manufacturing engine gasket kits, plastic injection parts, and packaging.\nDISTRIBUTION COMPANIES\nPT. Prapat Tunggal Cipta\nSpecializes on the distribution of the Group's products in Indonesian aftermarket sectors\nPT. Mangatur Dharma\nA trading house and represents Donaldson products. Its role in Indonesia is to provide technical sales to various industries, ranging from power plants to oil and gas industries.\nPT. Cahaya Mitra Gemilang\nSpecializes in the distribution of the group's products in North Sumatra and Nanggroe Aceh Darussalam (or aftermarket sector).\nPT. Prima Auto Indonesia\nA Sole Agent/ Distributor of Baotou Bei Ben Heavy Duty Truck Co. Ltd. Its products are widely used in industries, such as Mining, Harbor Management, Forestry, and Construction & Transportation.\nThe group marketing strategy is to serve several sectors. OEM/OES, replacement and contract manufacturing play equal role.\nOur contract manufacturing business allows us to manufacture for key industry leaders in automotive component business, corporate whole sellers and retailers. To remain competitive in the global markets, high quality and products performance are not an option but a prerequisite.\nCoupled with excellent services, quick response and cost advantage, we believe that these would lead us to achieve our motto “To Give the Customer a Better Choice.”\nList OEM/OES Supplier of\nBei Ben - Chery - Chevrolet - Daihatsu - Ford - Foton - Greatwall - Hino - Hitachi - Holden - Honda - Hyundai - Isuzu - JCB - KIA - Kobelco - Komatsu - Kubota - Mazda - Mercedes Benz - Mitsubishi - Nissan - UD Trucks - Suzuki - TCM - Toyota - Yanmar - Shanghai Diesel Engine - Anhui Hualing Automobile - Shantui Construction Machinery, etc.\nOur export networks have reached to more than 115 countries. Australia Netherland China Russia Ecuador Singapore France Switzerland Germany Taiwan India Thailand Italy U.A.E. Japan U.S.A. Korea United Kingdom Malaysia Vietnam Myanmar Etc."
"Advance (Yogjakarta)","0274-4399522","Healthcare / Medical","","1001 - 2000","","","","ADVANCE is a brand for healthy equipment that has established since 1994. Being a market leader in healthy lifestyle products, ADVANCE offers wide range of healthy lifestyle products with innovative technology, design and functions"
"Advanced Publishing Technology, Inc","+1 (818) 557-3035","Computer / Information Technology (Software)","Regular hours, Mondays-Fridays","1 - 50","flexible working hours, work from home","English","","Since 1991, we have developed, enhanced and sold the Falcon (previously known as ACT) software suite. Falcon software is currently installed in over 300 publishing companies world wide. We are on the leading edge of development of web based software and services."
"Advanced Technologies Pacific","021-57998760","Computer/Information Technology (Hardware)","Regular hours, Mondays - Fridays","1 - 50","Medical, Miscellaneous allowance","English","","PT Advanced Technologies Pacific is a established IT solutions company covering Trainings, Services and Total IT Solutions in secured infrastructures.  Our core business goes into the following area\na. Training.  We are the official Official Training Partner for (ISC)² for Indonesia and will be conducting CISSP Trainings. Our in demand classes for now are CISSP Training, Big Data with Analytics and a new Cybersecurity Incidents Handling Class being launched in October 2017\nb. Consulting\nAs a security solution company and with our network of securtiy professionals we are in the biz of securing enterprise networks. We have done pen testing and is proven in this field\nc. Security and Cloud\nWe provide solutions into the enterprises for this area. We have one of the best team in Privilege Access and also in IDM and SSO.   d. Hyperconvergenced Infrastructure and Virtualization\nWe provided a total infra structure design from firewalls to switching to the back end storage/compute based on the new gen hyperconvergence backend\ne. Big Data and Analytics\nWe are one of the early trainers and educate the Jakarta market on the merits of big data and analytics.\nCurrently we run classes for Big data and also advanced Biz analytics for biz.\nOur engineers are Hadooped trained and certified and our trainers are experienced in big data and analytics."
"Advess","+62 2292554863","Computer/Information Technology (Software)","Regular hours, Mondays - Fridays","1 - 50","Medical, Miscellaneous allowance, Education support","Bahasa Indonesia","","Advess adalah tim yang terdiri atas orang-orang yang berkomitment, inovatif, kreatif, energik dan dinamis yang selalu berusaha mencapai integritas, kesuksesan dan hasil yang lebih baik. Kami bergerak dalam bisnis \"Business Solution\".   Dengan dukungan setiap anggota tim yang memiliki ide-ide inovatif, kreatif, energik dan dinamis, kami dapat menghasilkan produk-produk yang memiliki nilai tambah luar biasa, yang mampu memberikan manfaat dan pengalaman luar biasa bagi para klien kami.\nSaat ini kami sedang berkembang dengan cepat dan membutuhkan beberapa anggota tim yang memiliki komitment, inovatif, kreatif, enegik dan dinamis."
"AEROCITY","+62 8567497974","Property/Real Estate","fleksibel","1 - 50","penghasilan tidak terbatas","Bahasa Indonesia","","AEROCITY RESIDENCE merupakan perumahan yang humanis terletak di Palembang City sekitar 5 Menit dari Bandara Sultan Mahmud Badaruddin.\nKami tidak sekedar membangun perumahan tetapi tetapi membangun komunitas yang humanis, membangun warga untuk saling berinteraksi dan menciptakan lingkungan yang positif."
"AEON MALL BSD CITY","+62 21-29168500","Property/Real Estate","Regular hours, Mondays - Fridays","51 - 200","Dental, Medical, Vision, Miscellaneous allowance","English","","AEON MALL is the core business of AEON-Japan's Largest retail group and specializes in shopping mall development. We have opened shopping malls in various regions in Japan. We are targeting new growth through further expansion of its businesses based in Japan and at the same time ascelarate the shopping mall business in China and other Asian countries.\nWe as a specialized commercial developer, help to develop local communities by creating shopping malls and continuously raising value. We aim to create \"Towns with Vitality\", instead of just a collection of stores. To achieve our goal, we continue playing an active role in the shopping mall business from pre-development land appraising to daily operations and management."
"AEON Credit Service Indonesia,","021-29347200","Banking/Financial Services","Regular hours, Mondays - Fridays","1001 - 2000","Medical","English","recruitment@aeon.co.id","AEON companies in Japan and overseas apply a \"glocal (global + local) strategy\": global-class management systems tailored to local needs in a drive to be the best local retailer wherever we operate. Our business is based on large-scale shopping centers serving their respective communities with tailored services comprising GMS (general merchandise store) retail, supermarkets, drugstores, home centers, convenience stores, specialty stores, shopping-mall development, financial services, entertainment, food services and more. AEON is growing through internal expansion and strategic tie-ups that add new services, synergy and sales.\nProduct & Services\nFinancial Service, Consumer Finance, Credit Card and others.\nFind us @ :\nwww.aeon.co.id  or  www.aeon.info (AEON GROUP INFO)\nFor further information related recruitment process you can contact us to:\nrecruitment@aeon.co.id"
"AFFA INTELLECTUAL PROPERTY RIGHTS","+62 2183793812","Law/Legal","Regular hours, Mondays - Fridays","51 - 200","insurance, Parking, Miscellaneous allowance","Bahasa Indonesia, English","","AFFA Intellectual Property Rights was established in July 1999, brought into existence by a number of experienced IP professionals. Headed by Mr. Achmad Fatchy, AFFA Intellectual Property Rights has chosen Intellectual Property as its specialization. The team in AFFA believes that a total concentration in one field would ensure the quality of services to the clients. The said commitment together with technical expertise is matched by the team’s vast experience in serving the clients’ requirements within the boundaries of national and international markets.\nAdditionally, AFFA has strong international relations in almost any country in the world that provides assistance in the protection of our client’s intellectual property abroad and foreign clients requesting protection in Indonesia.\nMembers of AFFA are associated professionally with International Trademark Association (INTA), European Community Trademark Association (ECTA), ASEAN Intellectual Property Association (AIPA), Licensing Executive Society (LES), and Indonesian Intellectual Property Society (AKHKI)."
"Agatha Photo","+62 274-565262","Arts / Design / Fashion","Saturdays or Shift required","1 - 50","","Bahasa Indonesia","","Agatha Photo Kami merupakan salah satu industry fotography yang sedang maju dan berkembang berlokasi di Yogyakarta. Saat ini kami sedang membutuhkan kandidat yang dinamis & prosfesional sebagai berikut :"
"Agenda Resto And Vibes Jogja","+62 274-2871432","Food & Beverage/Catering/Restaurant","","Not Specified","","","","AGENDA offers wide variety of favorite Western and Asian cuisine, with emphasize on combining comfort food and the feel of easy dining. We believe our food should be served in good quality, while we aim to serve Western Cuisine in manner that will conform to local taste. Either a full-course meal, light bites or simply satisfying that dessert crave, we strive that our guests can always find something they need in AGENDA.\nWith full stock bar offering wine, classics cocktails and mocktails, AGENDA also proud to offer signature cocktails, handcrafted with passion by our bartenders.\nWith a full-grade espresso machine combined with artisan made blend of coffee beans, AGENDA promise to always deliver a good cup of coffee."
"AGE Dental Lab","+62 274-515879","Environment/Health/Safety","Monday-Saturday, Shift required","51 - 200","BPJS","Bahasa Indonesia","","\"AGE\" dental lab adalah sebuah perusahaan swasta independen yang bergerak di bidang jasa pelayanan dan pembuatan gigi tiruan (Hi-tech) dimana dokter gigi merupakan mitra kerja utamanya.\nAGE\" dental lab memiliki komitmen untuk membantu dokter gigi sebagai mitra kerjanya terutama dalam memberikan pelayanan kedokteran gigi yang lebih baik sebagai penyedia jasa pelayanan pembuatan gigi tiruan berteknologi terkini (Amerika dan Jerman) sehingga lebih menghasilkan produk gigi \"Aesthetic & Functionally\".\nKami membutuhkan kandidat berkualifikasi untuk ditempatkan sebagai :"
"Agrosubur Group","+62 536-4200202","Agricultural/Plantation/Poultry/Fisheries","","Not Specified","","","","Dengan berkembang pesatnya Teknologi Informasi dalam dunia bisnis, kami mengundang individu - individu yang berkualitas untuk dapat bergabung dan maju bersama perusahaan kami."
"Agni Sentral Motor","+62 2153160768","Automobile/Automotive Ancillary/Vehicle","Mondays-Saturday","1 - 50","Medical, Miscellaneous allowance","Bahasa Indonesia","","We are Agni Sentral Motor, a leading car accessories importir and distributor company, has stand firmly for more than 15 years in Indonesia. Over 250 dealership has registered in our network database, and still expanding. With more than 5 brands of well known window films, we claim to be the most prestigious window films distributors company.\nAs the market grows, so is our needs for human resources, therefore we are seeking highly motivated, positive minded, strong willed candidate to fill in our vacancy. We have a good working environment waiting for you. If you feel that you are the right person on the right time, we encourage you to click that \"APPLY\" button or send us your resume and application.\nAnd we hope you will be the ONE OF US soon !!"
"Agrinos ( Prima Group )","021-6619308","Agricultural/Plantation/Poultry/Fisheries","Regular hours, Mondays - Fridays","51 - 200","Loans, Dental, Miscellaneous allowance, Vision, Medical, Parking","English","","PT Agrinos located in Jakarta is a subsidiary of Agrinos SA, an International Company with its HQ in USA. Agrinos SA had subsidiaries in 14 countries worldwide. Agrinos is committed to improving the productivity and sustainability of modern agriculture with our range of High Yield Technology (“HYT®”) products. HYT® helps farmers to practice profitable agriculture by providing increased crop productivity, improved efficiency of conventional fertilizer and a reduced environmental footprint."
"Agrowisata Salatiga","+62 298 325498","Hotel/Hospitality","","Not Specified","","","","Agrowisata Salatiga\nEco Park Hotel, Convention and Camping Ground\nJl. Hasanuddin (Jl. Salatiga-Kopeng) Km. 4 Salatiga - Central Java - Indonesia\nPhone (0298)325498\nFax (0298) 327609\nWebsite : www.agrowisatasalatigahotel.com"
"Agung Jaya Textile","022-4231028","Textiles/Garment","Saturdays/Shift required","51 - 200","Loans","Bahasa Indonesia","","Kami merupakan perusahaan yang bergerak di bidang trading textile dan pakaian yang berdiri sejak tahun 2003 berlokasi di Bandung, membuka kesempata berkarir bagi para Lulusan Sarjana (S1) atau Sarjana Muda (D3) yang memenuhi syarat dengan mengikuti program rekrutment."
"AGS","+62 21-83708395","Transportation/Logistics","Regular hours, Mondays - Fridays","51 - 200","BPJS","Bahasa Indonesia","","With 4 324 employees and 147 branches, of which 128 are based overseas, AGS is the leading French group with an international presence in the removals and relocations industry.\nComplete client satisfaction is an essential goal underlying the activities of AGS. A key role player in the relocation of company executives, diplomats, members of international organisations and from the private sector, our strength lies in our strong knowledge of the market, our discipline, our client orientation and in our availability.\nAGS is a dynamic company which offers its members of staff real prospects for career advancement and growth within the company. The prosperity of the group is a result of our know-how and the professionalism of our employees."
"Agung Raka Resort & Villas","0361-975757","Hotel / Hospitality","Saturdays or Shift required","51 - 200","Bonus","Bahasa Indonesia & Inggris","","Bali Agung Raka Resort and Villa, the new modern minimalist Resort are built to complement the landscape that surrounds it, providing a sensational feeling of being in a beautiful village, with a stunning sunset view from the rice terrace. Located at Jl. Raya Pengosekan, Ubud - Bali, it just 10 minutes walking distance to Monkey Forest in Ubud. Bali Agung Raka Resort and Villa consist of 20 villas (one and two bedrooms villa) and 25 guest rooms inclusive of Superior and Deluxe Rooms located on 1st and 2nd floor. All guest rooms are set within building, 2-storey high with staircase access. Ideal for family holiday, honeymoon couple, groups of friends and more. Most of our villas are designed to mimic the general shape of a Balinese rice-barn, which has its lower space utilized as living space, and a bedroom on the second floor. Our villas are mostly constructed of wooden structure, bamboo, and thatched roof, which provide a stable cool temperature throughout the day, while an air conditioning system is in place in each room to further adjust it according to our guests’ preference. As added convenience feature, some of our villas are equipped with kitchenettes, and every room is equipped with telephone, mini bar, and a television set."
"Agung Sedayu Group","+62 2165868558","Others","Saturdays/Shift required","1 - 50","Miscellaneous allowance","Bahasa Indonesia","","Agung Sedayu Group adalah perusahaan pengembang properti terkemuka yang berpusat di Jakarta. Berdiri sejak 1971, kami mengkhususkan diri pada pengembangan properti sebagai solusi bisnis dan one-stop-living, dengan menyajikan kenyamanan yang ideal sekaligus kemudahan gaya hidup modern.\nPortofolio pengembangan kami tersebar di beberapa daerah prestisius di Jakarta, Bogor, Depok, Tangerang, dan Bekasi yang terdiri dari township, superblok, apartment, office tower, mall, industrial estate, hotel, dan lain sebagainya.\nKami senantiasa mengundang mitra dan investor yang berkeinginan menjajaki peluang bisnis yang unik dan menarik bersama Agung Sedayu Group."
"Agung Sedayu Retail Indonesia","+62 21 45867888","Property/Real Estate","Mondays-Fridays (Saturday 2 Time in 1 Month)","51 - 200","Jamsostek, Medical, Dental, Parking","Bahasa Indonesia","","Agung Sedayu Retail Indonesia otherwise known as ASRI is a sub-holding company of Agung Sedayu Group, one of major property group in Indonesia focusing in commercial, housing, apartment, and retail.\nWith more than 40 years of experience, Agung Sedayu Group has always in the best of interest for its customer to provide great location with profitable investment value.\nCurrently, ASRI has 2 malls located in Kelapa Gading, North Jakarta (Mall of Indonesia) and in South Bekasi (Grand Galaxy Park Mall), and upcoming at North Jakarta, Pantai Indah Kapuk (PIK Mall) in 2015 with 5 more coming up retail project across Jakarta to be opened between year 2015-2018."
"Ahimsa Restaurant","https://www.facebook","Food & Beverage / Catering / Restaurant","","1 - 50","","","","Ahimsa Restaurant bergerak di bidang Vegetarian Restaurant yang berada di Surabaya. Yang menyediakan berbagai macam Vegetarian Food. Saat ini sedang membutuhkan kandidat yang memiliki potensi untuk bergabung bersama kami untuk menempati posisi :"
"AHI Roofing","+62 21-3847618","Polymer / Plastic / Rubber / Tyres","Regular hours, Mondays-Fridays","1 - 50","Medical","Bahasa Indonesia","","..... DIBUTUHKAN SEGERA ..... AHI Roofing, perusahaan multinasional berkantor pusat di New Zealand, dan produknya telah dipasarkan di 80 negara didunia dan melakukan expansi besar besaran ke seluruh negara tersebut, membutuhkan tenaga profesional untuk pengembangan pasar diseluruh Indonesia."
"Ahmad Dhani School Of Rock (Surabaya)","+62 318496734","Education","Setiap Hari","1 - 50","Bonus","Bahasa Indonesia","","SEKOLAH MUSIK AHMAD DHANI “lahir” pada tanggal 7 April 2010, hasil kerjasama dan sinergi antara lembaga pendidikan PRIMAGAMA dengan musikus besar dan berkualitas AHMAD DHANI. Dengan kekuatan manajemen PRIMAGAMA dan kepiawaian AHMAD DHANI selaku pemusik yang cerdas dan berkualitas menjadikan SEKOLAH MUSIK AHMAD DHANI sebagai lembaga kursus Sekolah Musik yang memiliki perbedaan dan banyak keunggulan dibanding lembaga Kursus Musik lainnya. Misalnya kurikulum yang Spesifik, Added Value dan beberapa program yang siap menghantar siswa untuk Menjadi Pemusik , Menjadi Bintang , Maupun Insan Industri Musik yang Profesional."
"AIA Financial","+62 341722208","Insurance","Regular hours, Mondays - Fridays","More than 5000","Miscellaneous allowance, Education support, Vision, reward trip ke Luar Negeri","Bahasa Indonesia","","PT. AIA FINANCIAL (AIA) merupakan salah satu perusahaan asuransi jiwa terkemuka di Indonesia dan merupakan perusahaan asuransi jiwa yang terdaftar di dan diawasi oleh Otoritas Jasa Keuangan.\nAIA di Indonesia merupakan anak perusahaan AIA Group. AIA menawarkan berbagai produk asuransi, termasuk asuransi dengan prinsip Syariah, yang meliputi asuransi jiwa, asuransi kesehatan, asuransi kecelakaan diri, asuransi yang dikaitkan dengan investasi, program kesejahteraan karyawan, program pesangon, dan program Dana Pensiun (DPLK). Produk-produk tersebut dipasarkan oleh lebih dari 10.000 tenaga penjual berpengalaman dan profesional melalui beragam jalur distribusi seperti keagenan, Bancassurance dan Corporate Solutions (Pension & Employee Benefits).\nBerdasarkan Laporan Kinerja Tahunan Asuransi Jiwa Indonesia 2014 :\n- AIA menempati peringkat kedua perusahaan asuransi jiwa di Indonesia dalam hal Total Weighted Premium Income (TWPI) dengan pangsa pasar 10,3 persen. TWPI AIA tahun 2014 bertumbuh sebesar 23 persen dari tahun sebelumnya menjadi  Rp8,1 triliun.\n- AIA juga tercatat sebagai tiga besar perusahaan asuransi jiwa di Indonesia untuk perolehan New Business Total Weighted Premium Income (NBTWPI) dengan pangsa pasar 8,5 persen. AIA mencatat pertumbuhan NBTWPI sebesar 10 persen menjadi Rp2,3 triliun di 2014."
"Aim For English","+62 21-83785238","Education","Saturdays/Shift required","1 - 50","Medical","English","","Aim For English (Aim), conveniently located in the heart of Jakarta, has established a reputation for the providing the very highest quality language education for Indonesian adults. Aim is now a renowned centre for a wide variety of English language courses, specialising in academic English and business English. Aim attempts to push the boundaries in education every day. Pioneering educational technology, up-to-date teaching methodology, modern courses and the very best teachers combine to create an educational package second-to-none in Indonesia. The level of service and individual attention that all Aim students enjoy is something completely new for Indonesian language learners. In a revolutionary new concept in the English Language education industry, Aim is owned and run by the four founding partners, all of whom are highly qualified and experienced English instructors. Come to see for yourself the difference it makes when people put quality education before any other consideration. Quality education is Aim’s number one priority. All Aim staff have enthusiasm, ambition and a commitment to providing innovative educational solutions. From the moment you arrive at Aim, be prepared to experience a level of service, style and quality never seen before in Jakarta language centres."
"Aily Lingerie","+62 81285902528","Arts/Design/Fashion","monday -friday 8am-5 pm , saturday 12 am","1 - 50","","Bahasa Indonesia","","Aily lingerie bergerak dibidang underwear wanita, sekarang kami lagi mengembangkan penjualan online. Kami mengundang individu - individu yang berkualitas untuk dapat bergabung dan maju bersama perusahaan kami."
"Air China limited Jakarta Business Department","+62 2157938580","Aerospace/Aviation/Airline","","1 - 50","","","","Dengan berkembang pesatnya dunia bisnis, kami mengundang individu - individu yang berkualitas untuk dapat bergabung dan maju bersama perusahaan kami.\nWe offer challenging career development and good working environment, that enhance our professionals to keep growing."
"AIMIA","+62 21 52961988","Consulting (Business & Management)","Regular hours, Mondays - Fridays","51 - 200","Education support, Miscellaneous allowance, Dental, Medical","Bahasa Indonesia & Bahasa Inggris","","Loyalty management is the process of identifying, understanding and influencing best customers in order to build sustained, reciprocal and meaningful relationships that increase profits and drive long term enterprise value. We are Aimia and it is our vision to be the recognised global leader in loyalty management.\nAcross our global enterprise we offer a full suite of services delivered through three loyalty service streams :\nCoalition Loyalty – designing, building and managing multi-partner and shared currency loyalty programs around the globe\nProprietary Loyalty – designing, building and managing strategic business and customer loyalty programs for individual clients around the globe\nLoyalty Analytics – collecting, analysing and deriving actionable insight from customer data to deliver measurable marketing ROI for clients and partners around the globe\nHere in Asia Pacific, Aimia has proven experience in partnering with clients to deliver leading proprietary loyalty programs across the region. Our proprietary loyalty service experts design, launch and operate new client programs, re-launch, refresh and operate existing client programs and bring our digital, mobile and analytical expertise to bear on behalf of clients. As we continue on our journey to realise our vision to be the recognised global leader in loyalty management, we are actively building out our capability to offer increased services across the loyalty analytics and coalition loyalty streams.\nWe have recently taken full ownership of the Interact business in Jakarta. Interact is primarily known as a creative direct marketing and CRM agency. Now part of the Aimia family, the plan is to realise the enormous growth potential that the Indonesia market holds in Asia Pacific."
"Airav Putra","+62 374-42053","General & Wholesale Trading","Regular hours, Mondays - Fridays","1 - 50","Miscellaneous allowance","Bahasa Indonesia","","AIRAV PUTRA, kami adalah Perusahaan yang bergerak di distribusi consumer goods di pulau Sumbawa yang sedang berkembang dan berdiri sejak tahun 1960. Bekerja sama dengan leading principals untuk mendistribusikan produk mereka."
"Aira Skin Clinic","2-271-7577777","Healthcare/Medical","Saturdays/Shift required","1 - 50","","Bahasa Indonesia","","Aira Skin Clinic adalah Klinik Estetika yang sedang berkembang dan mengkhususkan kepada perawatan wajah berupa produk perawatan medis dan jasa perawatan kulit wajah dengan menggunakan teknologi terkini. Saat ini kami sedang ada kebutuhan sebagai :"
"Aira Creative","021-0000000","Consulting (IT, Science, Engineering & Technical)","Regular hours, Mondays-Fridays","1 - 50","Miscellaneous allowance, Sports (e.g. Gym), Medical, Dental","Bahasa Indonesia","","Salah satu perusahaan tambang terkemuka di dunia, melakukan eksplorasi, menambang, dan memproses bijih yang mengandung tembaga, emas, dan perak di daerah dataran tinggi di Kabupaten Mimika, Provinsi Papua, Indonesia.Kompleks tambang milik kami di Grasberg merupakan salah satu penghasil tunggal tembaga dan emas terbesar di dunia, dan mengandung cadangan tembaga yang dapat diambil yang terbesar di dunia, selain cadangan tunggal emas terbesar di dunia. Grasberg berada di jantung suatu wilayah mineral yang sangat melimpah, di mana kegiatan eksplorasi yang berlanjut membuka peluang untuk terus menambah cadangan kami yang berusia panjang."
"AIS Group","0411-458282","Manufacturing/Production","Regular hours, Mondays - Fridays","201 - 500","Education support, Dental, Medical, Miscellaneous allowance","Bahasa Indonesia","","AIS Group sebuah perusahaan swasta bergerak di bidang Mining Contractor, Land Transportation, Transportir dan General Trading.\nKeseluruhan bisnis ini dimulai sejak tahun 1993 dengan Kontraktor Sipil dan General Trading.\nTahun 2004 memulai bisnis Supplier Kebutuhan operasional pertambangan meliputi Steel, baut spesial dan bahan peledak beserta jasa peledakan.\nSetelah berjalan beberapa tahun dibawah naungan perusahaan PT. TKM dengan berbagai jenis usaha dan produk maka tahun 2012 bertransformasi dalam rangka mewujudkan prinsip efesiensi dengan nilai ekonomis serta meningkatkan produktivitas perusahaan sehingga akhir tahun 2013 menetapkan beberapa anak perusahaan dengan CORE Bisnis yang berbeda dibawah naungan PT. ANAK INDONESIA SUKSES sebagai Holding Company."
"AJ Bakery & Cake","021-45847034","Consumer Products / FMCG","Saturdays or Shift required","51 - 200","Parking, Loans, Medical","Bahasa Indonesia","","Kami adalah Perusahaan yang sedang berkembang pesat khususnya di bidang Bakery & Cake. Perusahaan kami saat ini ingin mencari kadidat yang berkualitas atau berpotensial, bisa bekerja sama, disiplin, rajin dan mau berkembang juga bersama perusahaan kami. Sehingga kita bisa sama-sama berkembang. Dan kami yakin anda merupakan kandidat yang kami cari."
"Akademi Keperawatan Bina Insan","021-43921275","Healthcare / Medical","Regular hours, Mondays-Fridays","1 - 50","Medical","Bahasa Indonesia","","Akademi Keperawatan Bina Insan Jakarta Berdiri sejak tahun 1995 melalui izin dari Departemen Kesehatan RI. dengan SK MenKes RI Nomor : HK.03.2.4.1.03318. Dalam proses penyelenggaraan secara akademik telah melaksanakan proses akreditasi dari departemen kesehatan sebanyak 3 (tiga) kali dengan nilai terakhir adalah B (81.84). Dalam perjalanan selanjutnya pada tahun 2009 Akademi Keperawatan Bina Insan Jakarta telah alih bina ke Kementrian Pendidikan Tinggi dengan SK Mendiknas RI No. 16/D/O/2009 tanggal 2 Maret 2009 dan perpanjangan ijin dengan Surat Kemendiknas cq. Kopertis III No. 8553/D/T/K-III/2011 tanggal 25 Agustus 2011.Akademi Keperawatan Bina Insan Jakarta berada di jenjang Pendidikan Diploma III Keperawatan dengan masa perkuliahan 6 (enam ) semester. Sesuai dengan Visi Akademi Keperawatan Bina Insan Jakarta yaitu menjadi institusi pendidikan yang menghasilkan tenaga keperawatan vokasi yang kompetitif di pasar kerja pada tahun 2014 maka kurikulum dikemas dengan jumlah 110 SKS, dengan rincian 96 SKS inti dan 14 SKS muatan pelengkap. Muatan pelengkap terdiri dari Kardiologi Dasar, K3 dan Bahasa Inggris Keperawatan.Dari awal alih bina dengan teratur Akademi Keperawatan Bina Insan Jakarta mengirimkan Laporan Pendidikan secara berkala ( EPBSBED ) ke Kopertis Wilayah III Jakarta dengan hasil penilaian mencapai 100%.Pada tahun 2012 telah melaksanakan proses Akreditasi oleh BAN – PT . Untuk staf dosen sebagian besar telah mengikuti pelatihan dasar pengajaran ( PEKERTI ) dan pelatihan Applied Approach (AA). Jabatan Fungsional dosen telah memperoleh Asisten Ahli. Untuk meningkatkan mutu dosen Akademi Keperawatan Bina Insan Jakarta secara berkala memberikan kesempatan kepada dosen untuk melanjutkan pendidikan ke jenjang yang lebih tinggi. Mulai periode tahun 2011/2012 hingga sekarang tiga orang dosen telah memperoleh dana BPPS (Beasiswa Pendidikan Pasca Sarjana ) dari DIKTI.Dalam memberikan pelayanan kepada mahasiswa, Akademi keperawatan Bina Insan Jakarta memfasilitasi mahasiswa untuk memperoleh dana bantuan beasiswa baik dari kemendiknas maupun dari instansi lain. Ditahun 2012 diperoleh dana beasiswa sebanyak 43 orang dengan sebaran 30 % untuk PPA (Peningkatan Prestasi Akademik) dan 70 % untuk BBM (Bantuan Belajar Mahasiswa)."
"Akademi Kesehatan Andalusia","0811-957-832","Education","Regular hours, Mondays - Fridays","1 - 50","","Bahasa Indonesia","","Yayasan Andalusia Nusantara (Akademi Kesehatan Andalusia Jakarta) merupakan salah satu Akademi Kesehatan di Jakarta yang memiliki komitmen untuk mencetak tenaga-tenaga profesional di bidang kesehatan.\nLokasi Kampus di Jl. Scientia Boulevard Gading Serpong Curug Kelapa Dua Tangerang"
